acronym, definition
AA, Administrative Assistant
AAC, Air Armament Center
AAG, Army Auditor General
AAP, Abbreviated Acquisition Program
AAW, Anti-Air Warfare
AAWO, Army Asymmetric Warfare Office
ABIDES, Automated Budget Interactive Data Environment System
ABO, Army Budget Office
AC, Active Component
AC/RC, Active Component / Reserve Component
ACAT, Acquisition Category
ACATIC, Component Service-uniqueinterest Major Acquisition Program
ACATID, DoD-wide interest Major Defense Acquisition Program
ACC, Air Combat Command
ACD&P, Advanced Concept Development & Prototypes
ACE, Aviation Combat ElementUSMC
ACMC, Assistant Commandant of the Marine Corps
ACNO, Assistant Chief of Naval Operations
ACSIM, Assistant Chief of Staff for Installation Management
ACT, Acquisition Coordination Team
ACTO, Advanced Concept Technology Demonstrator
ACWP, Actual Cost Work PerformanceEVM metric
ADCON, Administration Control
ADM, Acquisition Decision Memorandum
ADP, Automated Data Processing
ADST, Active Duty for Special Training
ADSW, Active Duty for Special Work
ADT, Active Duty for Training
AEDC, Arnold Engineering and Development Center
AEF, Air Expeditionary Forces
AETC, Air Education and Training Command
AF, Air Force
AF/XO, Air Force Executive OfficeCurrently realigned as A3 and A8 on Air Force Staff
AFB, Air Force Base or Air Force Board
AFC, Air Force Council
AFCAIG, Air Force Cost Analysis Improvement Group
AFCIS, Air Force Capability Investment Strategy
AFCS, Air Force Corporate Structure
AFFTC, Air Force Flight Test Center
AFG, Air Force Group
AFI, Air Force Instruction
AFMCL, Air Force Master Capabilities List
AFOSR, Air Force Office of Scientific Research
AFOTEC, Air Force Operational Test and Evaluation Command
AFPD, Air Force Planning Directive
AFRES, Air Force Reserve
AFRICOM, U.S. Africa Command
AFRL, Air Force Research Lab
AFROC, Air Force Requirements Oversight Council
AFROCC, Air Force Requirements for Operational Capabilities Council
AFSAA, Air Force Studies and Analysis Agency
AFSAC, Air Force Security Assistance Center
AFSARC, Air Force Systems Review Council
AFSOC, Air Force Special Operations Command
AFSPC, Air Force Space Command
AFSPD, Air Force Strategic Planning Directive
AFTFP, Air Force Transformation Flight Plan
AFTL, Air Force Task List
AHP, Analytical Hierarchy Protocol
AMA, Analysis of Materiel Alternatives
AMARC, Aerospace Maintenance and Regeneration Center
AMC, Air Mobility Command
AMD, Acquisition Memorandum Decision
AMP, Army Modernization Plan
ANG, Air National Guard
